,product,specification,review,discount,price,rating,offers
0,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 Inch, Black Plastic, 2.3 KG, With MS Office","1,942",27% off,"64,990",4.4,"No Cost EMI from10,832/month"
1,ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"15.6 inch, Plastic Grey, 2.10 Kg",74,15% off,"76,990",4.4,"No Cost EMI from12,832/month"
2,ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB/512 GB S...,"15.6 inch, Black Plastic, 2.30 kg",380,23% off,"68,990",4.5,"No Cost EMI from11,499/month"
3,ASUS ASUS TUF Gaming Core i7 11th Gen - (16 GB/1 TB SSD...,"15.6 inch, Graphite Black, 2.30 kg",121,22% off,"1,05,990",4.6,"No Cost EMI from17,665/month"
4,ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/...,"15.6 inch, Graphite Black, 2.30 kg",27,23% off,"89,990",4.6,"No Cost EMI from14,999/month"
5,ASUS Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/...,"15.6 inch, Black Plastic, 2.30 Kg",90,2% off,"79,990",4.4,"No Cost EMI from13,332/month"
6,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/1 TB HDD/256 ...,"15.6 inch, Transparent Silver, With MS Office",3,22% off,"60,980",4.7,
7,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD...,"15.6 inch, Star Black, 2.14 Kg, With MS Office","1,310",28% off,"54,990",4.4,"No Cost EMI from9,165/month"
8,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 inch, Black Plastic, 2.3 KG","2,559",25% off,"60,990",4.5,"No Cost EMI from10,165/month"
9,ASUS TUF Gaming F17 (2021) Core i5 11th Gen - (8 GB/1 T...,"17.3 Inch, Graphite Black, 2.6 KG",112,19% off,"92,990",4.5,"No Cost EMI from15,499/month"
10,ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"15.6 inch, Eclipse Gray, 1.90 Kg, With MS Office",69,23% off,"1,43,990",4.2,
11,ASUS TUF Dash F15 Core i5 11th Gen - (8 GB/1 TB SSD/Win...,"15.6 inch, Eclipse Grey, 2. Kg",,21% off,"89,990",,
12,ASUS ASUS TUF Dash Core i5 11th Gen - (16 GB/512 GB SSD...,"15.6 inch, Moonlight White, 2.00 kg",,21% off,"89,990",,
13,ASUS TUF Dash F15 (2021) Core i5 11th Gen - (16 GB/512 ...,"15.6 inch, Moonlight White, 2 KG, With MS Office",165,4% off,"99,990",4.4,"No Cost EMI from16,665/month"
14,ASUS TUF Core i5 10th Gen - (8 GB/1 TB SSD/Windows 10 H...,"15.6 inch, Black Plastic, 2.30 Kg",23,21% off,"64,990",4.3,
15,ASUS ROG Strix Ryzen 9 Octa Core 5900HX - (16 GB/1 TB S...,"15.6 inch, Eclipse Gray, 2.10 kg",,23% off,"1,24,990",,"No Cost EMI from20,832/month"
16,ASUS ROG Strix G17 Ryzen 9 Octa Core AMD Ryzen™ 9 5900H...,"17.3 inch, Black, 2.5 kg",,19% off,"1,24,990",,
17,ASUS Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home...,"15.6 inch, Celestial Blue, 2.50 kg",6,17% off,"2,25,990",4.5,
18,ASUS ROG Strix G15 (2021) Ryzen 5 Hexa Core 5600H - (8 ...,"15.6 Inch, Eclipse Gray, 2.1 KG",95,23% off,"87,990",4.5,"No Cost EMI from14,665/month"
19,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD Ryzen™ 7 4800H...,"15.6 inch, Electro Punk, 2.30 Kg",,23% off,"92,990",,
20,ASUS TUF Dash F15 Core i5 11th Gen - (8 GB/1 TB SSD/Win...,"15.6 inch, Moonlight White, 2. Kg",,19% off,"86,990",,
21,ASUS ROG Zephyrus G14 Ryzen 9 Octa Core 4900HS - (16 GB...,"14 inch, Gray W&LED, 1.6 Kg, With MS Office",102,19% off,"1,06,990",4.6,"No Cost EMI from17,832/month"
22,ASUS F17 Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 H...,"17.3 inch, Eclipse Gray, 2.6 KG",,26% off,"85,990",,
23,ASUS F15 (2021) Core i5 11th Gen - (8 GB/1 TB SSD/Windo...,"15.6 Inch, Graphite Black, 2.3 KG",,25% off,"86,990",,
24,ASUS TUF(The Ultimate Force) Core i5 8th Gen - (8 GB/1 ...,"15.6 inch, Gun Metal, 2.3 kg",,13% off,"73,990",,
25,ASUS ASUS TUF Gaming F17 Core i5 11th Gen - (8 GB/512 G...,"17.3 inches, Graphite Black, 2.60 kg",27,12% off,"92,990",4.5,
26,ASUS TUF Gaming F15 (2021) Core i5 11th Gen - (16 GB/51...,"15.6 Inch, Graphite Black, 2.3 KG",60,26% off,"94,990",4.6,"No Cost EMI from15,832/month"
27,ASUS Zephyrus S17 (2021) Core i9 11th Gen - (32 GB/3 TB...,"17.3 inch, Off Black, 2.60 kg, With MS Office",,,"4,41,990",,
28,ASUS ROG Flow X13 Ryzen 7 Octa Core 5800HS - (16 GB/1 T...,"13.4 inch, Off Black, 1.30 kg, With MS Office",54,23% off,"1,24,990",4.5,"No Cost EMI from20,832/month"
